Driver_ID,telemetry_minutes,trips,overspeed_events,harsh_acceleration_events,harsh_braking_events,aggressive_lateral_events,avg_speed_kmph,max_observed_speed_kmph,overspeed_rate,harsh_acceleration_rate,harsh_braking_rate,aggressive_lateral_rate,overspeed_score,braking_score,acceleration_score,lateral_score,risk_score,risk_category,risk_rank
D01,427,15,9,10,11,17,25.226463700234195,54.4,2.107728337236534,2.3419203747072603,2.576112412177986,3.9812646370023423,65.51724137931035,75.86206896551724,65.51724137931035,65.51724137931035,68.1,Moderate Risk,8
D02,402,15,7,4,5,9,22.142537313432832,50.9,1.7412935323383085,0.9950248756218906,1.2437810945273633,2.2388059701492535,44.827586206896555,37.93103448275862,27.586206896551722,34.48275862068966,37.6,Lower Risk,20
D03,482,15,33,27,19,26,22.660788381742737,68.8,6.846473029045644,5.601659751037345,3.941908713692946,5.394190871369295,82.75862068965517,86.20689655172413,100.0,100.0,90.5,Higher Risk,2
D04,475,15,13,6,4,19,24.53557894736842,51.6,2.736842105263158,1.263157894736842,0.8421052631578947,4.0,75.86206896551724,24.137931034482758,34.48275862068966,72.41379310344827,54.0,Moderate Risk,15
D05,482,15,1,1,2,9,23.112448132780084,47.8,0.2074688796680498,0.2074688796680498,0.4149377593360996,1.8672199170124482,24.137931034482758,3.4482758620689653,3.4482758620689653,31.03448275862069,16.2,Lower Risk,26
D06,470,15,52,22,12,24,25.70340425531915,73.6,11.063829787234042,4.680851063829787,2.553191489361702,5.106382978723404,96.55172413793103,68.96551724137932,89.65517241379311,96.55172413793103,88.3,Higher Risk,5
D07,462,15,9,6,9,15,24.713852813852814,54.4,1.948051948051948,1.2987012987012987,1.948051948051948,3.2467532467532463,51.724137931034484,62.06896551724138,41.37931034482759,55.172413793103445,52.9,Moderate Risk,17
D08,466,15,8,6,12,12,23.949141630901288,56.3,1.7167381974248928,1.2875536480686696,2.575107296137339,2.575107296137339,41.37931034482759,72.41379310344827,37.93103448275862,41.37931034482759,48.4,Moderate Risk,18
D09,396,15,0,4,3,2,25.765151515151516,40.7,0.0,1.0101010101010102,0.7575757575757576,0.5050505050505051,10.344827586206897,17.24137931034483,31.03448275862069,0.0,14.1,Lower Risk,27
D10,470,15,10,11,6,11,21.429361702127657,56.7,2.127659574468085,2.3404255319148937,1.276595744680851,2.3404255319148937,68.96551724137932,44.827586206896555,62.06896551724138,37.93103448275862,55.3,Moderate Risk,14
D11,357,15,0,1,1,2,25.60532212885154,41.6,0.0,0.2801120448179272,0.2801120448179272,0.5602240896358543,10.344827586206897,0.0,6.896551724137931,3.4482758620689653,5.7,Lower Risk,30
D12,360,15,24,18,10,16,23.769722222222224,64.5,6.666666666666667,5.0,2.7777777777777777,4.444444444444445,79.3103448275862,79.3103448275862,93.10344827586206,86.20689655172413,83.4,Higher Risk,7
D13,431,15,9,10,8,12,24.582366589327147,61.8,2.088167053364269,2.320185614849188,1.8561484918793503,2.784222737819025,62.06896551724138,58.620689655172406,58.620689655172406,44.827586206896555,57.1,Moderate Risk,12
