risk_rank,Driver_ID,risk_score,risk_category,overspeed_rate,harsh_braking_rate,harsh_acceleration_rate,aggressive_lateral_rate
1,D24,91.9,Higher Risk,13.043478260869565,4.130434782608695,4.3478260869565215,4.782608695652174
2,D03,90.5,Higher Risk,6.846473029045644,3.941908713692946,5.601659751037345,5.394190871369295
3,D19,88.8,Higher Risk,9.763313609467456,2.9585798816568047,5.029585798816568,5.029585798816568
4,D14,88.6,Higher Risk,10.56338028169014,6.103286384976526,4.460093896713615,3.9906103286384975
5,D06,88.3,Higher Risk,11.063829787234042,2.553191489361702,4.680851063829787,5.106382978723404
6,D23,87.2,Higher Risk,10.065645514223196,5.032822757111598,3.50109409190372,4.157549234135667
7,D12,83.4,Higher Risk,6.666666666666667,2.7777777777777777,5.0,4.444444444444445
8,D01,68.1,Moderate Risk,2.107728337236534,2.576112412177986,2.3419203747072603,3.9812646370023423
9,D21,63.3,Moderate Risk,2.330508474576271,1.694915254237288,1.694915254237288,4.025423728813559
10,D25,63.1,Moderate Risk,2.050113895216401,1.366742596810934,2.733485193621868,4.328018223234624
11,D20,58.8,Moderate Risk,1.0526315789473684,4.2105263157894735,2.368421052631579,3.1578947368421053
12,D13,57.1,Moderate Risk,2.088167053364269,1.8561484918793503,2.320185614849188,2.784222737819025
13,D15,56.2,Moderate Risk,2.0876826722338206,1.4613778705636742,1.8789144050104383,3.7578288100208765
14,D10,55.3,Moderate Risk,2.127659574468085,1.276595744680851,2.3404255319148937,2.3404255319148937
15,D04,54.0,Moderate Risk,2.736842105263158,0.8421052631578947,1.263157894736842,4.0
16,D17,53.3,Moderate Risk,1.82648401826484,2.28310502283105,1.82648401826484,3.1963470319634704
17,D07,52.9,Moderate Risk,1.948051948051948,1.948051948051948,1.2987012987012987,3.2467532467532463
18,D08,48.4,Moderate Risk,1.7167381974248928,2.575107296137339,1.2875536480686696,2.575107296137339
19,D27,44.7,Moderate Risk,1.366120218579235,0.819672131147541,2.459016393442623,3.278688524590164
20,D02,37.6,Lower Risk,1.7412935323383085,1.2437810945273633,0.9950248756218906,2.2388059701492535
21,D30,34.3,Lower Risk,0.6329113924050633,1.2658227848101267,2.109704641350211,1.4767932489451476
22,D16,21.7,Lower Risk,0.0,1.0893246187363834,0.6535947712418301,1.7429193899782136
23,D22,18.4,Lower Risk,0.0,1.0917030567685588,0.43668122270742354,1.5283842794759825
24,D18,17.8,Lower Risk,0.0,1.0,0.5,1.5
25,D29,16.4,Lower Risk,0.22624434389140274,0.6787330316742082,0.4524886877828055,0.904977375565611
26,D05,16.2,Lower Risk,0.2074688796680498,0.4149377593360996,0.2074688796680498,1.8672199170124482
27,D09,14.1,Lower Risk,0.0,0.7575757575757576,1.0101010101010102,0.5050505050505051
28,D26,13.6,Lower Risk,0.0,0.47732696897374705,0.47732696897374705,1.6706443914081146
29,D28,10.2,Lower Risk,0.0,0.75,0.0,1.5
30,D11,5.7,Lower Risk,0.0,0.2801120448179272,0.2801120448179272,0.5602240896358543
