maintenance_rank,Vehicle_ID,Make,Model,maintenance_attention_score,maintenance_category,sensor_anomaly_rate,Odometer_KM_Start_of_Week,days_since_service,vehicle_age_years
1,V02,TVS,Raider,94.8,Higher Attention,9.255079006772009,46601,92,5.363449691991787
2,V12,TVS,Ntorq,86.7,Higher Attention,6.666666666666667,31966,58,6.324435318275154
3,V19,TVS,Ntorq,81.6,Higher Attention,8.55614973262032,17247,48,4.657084188911704
4,V01,Yamaha,Ray ZR,78.3,Higher Attention,6.0889929742388755,22820,59,5.286789869952088
5,V23,Suzuki,Access,77.9,Higher Attention,6.666666666666667,17821,51,5.522245037645448
6,V10,TVS,Ntorq,77.7,Higher Attention,5.555555555555555,30162,36,7.534565366187543
7,V24,Honda,Activa,73.6,Higher Attention,8.173076923076923,22345,47,0.8706365503080082
8,V13,Bajaj,Pulsar,69.1,Monitor,6.728538283062645,22372,36,1.1444216290212184
9,V25,Suzuki,Access,65.5,Monitor,5.694760820045558,26280,34,1.7604380561259412
10,V14,TVS,Raider,62.3,Monitor,7.174887892376682,5270,11,7.416837782340862
11,V15,TVS,Ntorq,59.9,Monitor,5.010438413361169,20041,48,2.6721423682409307
12,V03,Yamaha,Ray ZR,56.8,Monitor,5.118110236220472,14883,29,3.7453798767967146
13,V26,Bajaj,Pulsar,51.9,Monitor,4.1208791208791204,22871,39,2.2888432580424367
14,V28,Ola,S1,48.3,Monitor,4.0,17021,44,3.3182751540041067
15,V20,Yamaha,Ray ZR,45.3,Monitor,5.263157894736842,8533,14,3.2799452429842573
16,V27,Bajaj,Pulsar,39.9,Lower Attention,3.825136612021858,14098,27,3.802874743326489
17,V16,TVS,Raider,38.6,Lower Attention,2.832244008714597,22089,37,2.8062970568104038
18,V08,Hero,Splendor,38.0,Lower Attention,3.648068669527897,11444,25,4.75564681724846
19,V18,Ola,S1,37.8,Lower Attention,3.0,9158,29,7.173169062286106
20,V30,Bajaj,Pulsar,35.3,Lower Attention,4.176904176904177,5127,13,4.082135523613963
21,V17,Ola,S1,34.1,Lower Attention,4.337899543378995,2639,24,2.543463381245722
22,V06,Ola,S1,33.6,Lower Attention,4.854368932038835,3065,19,1.3661875427789185
23,V11,Suzuki,Access,33.4,Lower Attention,2.801120448179272,11219,28,6.220396988364135
24,V21,TVS,Raider,33.3,Lower Attention,4.176334106728538,9558,20,1.1800136892539357
25,V04,Honda,Activa,31.7,Lower Attention,3.3684210526315788,5533,18,6.094455852156058
25,V07,Hero,Splendor,31.7,Lower Attention,3.2467532467532463,6030,23,5.538672142368241
27,V29,TVS,Raider,27.2,Lower Attention,1.7064846416382253,14495,27,5.462012320328542
28,V09,Hero,Splendor,26.1,Lower Attention,2.0224719101123596,14294,13,6.52703627652293
29,V22,Honda,Activa,17.7,Lower Attention,2.4017467248908297,11264,11,2.757015742642026
30,V05,TVS,Raider,11.6,Lower Attention,2.0746887966804977,2727,25,1.4428473648186173
