Vehicle_ID,Vehicle_Type,Make,Model,Manufacture_Year,Registration_Date,Odometer_KM_Start_of_Week,Last_Service_Date,vehicle_age_years,days_since_service,trips_observed,weekly_distance_km,avg_trip_distance_km,total_trip_duration_min,telemetry_minutes,sensor_anomaly_minutes,gyro_x_anomalies,gyro_y_anomalies,gyro_z_anomalies,accel_x_anomalies,accel_y_anomalies,accel_z_anomalies,sensor_anomaly_rate,sensor_score,odometer_score,service_score,age_score,maintenance_attention_score,maintenance_category,maintenance_rank
V02,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,2021,2021-03-26,46601,2026-05-06,5.363449691991787,92,16,199.22,12.45125,443,443,41,20,20,3,1,2,24,9.255079006772009,100.0,100.0,100.0,65.51724137931035,94.8,Higher Attention,1
V19,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2021,2021-12-09,17247,2026-06-19,4.657084188911704,48,16,154.88,9.68,374,374,32,6,6,6,6,7,10,8.55614973262032,96.55172413793103,62.06896551724138,84.48275862068965,55.172413793103445,81.6,Higher Attention,3
V24,Two-Wheeler (Scooter/Motorcycle),Honda,Activa,2025,2025-09-22,22345,2026-06-20,0.8706365503080082,47,14,200.39999999999998,14.314285714285713,416,416,34,7,4,4,9,9,4,8.173076923076923,93.10344827586206,75.86206896551724,79.3103448275862,0.0,73.6,Higher Attention,7
V14,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,2019,2019-03-07,5270,2026-07-26,7.416837782340862,11,16,172.88,10.805,446,446,32,3,4,8,13,4,3,7.174887892376682,89.65517241379311,13.793103448275861,1.7241379310344827,96.55172413793103,62.3,Monitor,10
V13,Two-Wheeler (Scooter/Motorcycle),Bajaj,Pulsar,2025,2025-06-14,22372,2026-07-01,1.1444216290212184,36,15,201.62,13.441333333333334,431,431,29,9,6,6,6,6,7,6.728538283062645,86.20689655172413,79.3103448275862,63.793103448275865,3.4482758620689653,69.1,Monitor,8
V12,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2020,2020-04-09,31966,2026-06-09,6.324435318275154,58,15,168.85,11.256666666666666,360,360,24,3,3,7,6,7,2,6.666666666666667,81.03448275862068,96.55172413793103,93.10344827586206,86.20689655172413,86.7,Higher Attention,2
V23,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,2021,2021-01-27,17821,2026-06-16,5.522245037645448,51,18,244.54,13.585555555555555,555,555,37,8,4,9,13,5,8,6.666666666666667,81.03448275862068,65.51724137931035,89.65517241379311,72.41379310344827,77.9,Higher Attention,5
V01,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,2021,2021-04-23,22820,2026-06-08,5.286789869952088,59,15,185.37,12.358,427,427,26,7,1,9,8,4,3,6.0889929742388755,75.86206896551724,82.75862068965517,96.55172413793103,62.06896551724138,78.3,Higher Attention,4
V25,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,2024,2024-11-01,26280,2026-07-03,1.7604380561259412,34,15,206.6,13.773333333333333,439,439,25,8,7,5,1,7,9,5.694760820045558,72.41379310344827,89.65517241379311,58.620689655172406,17.24137931034483,65.5,Monitor,9
V10,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2019,2019-01-23,30162,2026-07-01,7.534565366187543,36,16,215.13,13.445625,486,486,27,7,11,6,2,2,7,5.555555555555555,68.96551724137932,93.10344827586206,63.793103448275865,100.0,77.7,Higher Attention,6
